Rank Arts and Humanities;Revista;ISSN;Editorial;País;Sitio web oficial;Estado de verificación;Fuente de verificación;Observación
5;Historia, Ciencias, Saude - Manguinhos;16784758, 01045970;Fundacao Oswaldo Cruz;Brazil;https://www.scielo.br/j/hcsm;Verificado por ISSN en DOAJ;https://doaj.org/toc/98f643192b704ee7aaaed18f53f0da9d;"Coincidencia exacta de ISSN con el registro DOAJ de «História, Ciências, Saúde: Manguinhos»; editorial declarada: Fundação Oswaldo Cruz, Casa de Oswaldo Cruz."
15;Historia da Historiografia;19839928;Brazilian Society for History and Theory of Historiography;Brazil;https://www.historiadahistoriografia.com.br;Verificado por ISSN en DOAJ;https://doaj.org/toc/a0b51b8e93e146dc8bcb8d32afe53b5d;"Coincidencia exacta de ISSN con el registro DOAJ de «História da Historiografia»; editorial declarada: Universidade Federal de Ouro Preto (UFOP); Universidade Federal do Estado do Rio de Janeiro (UNIRIO)."
16;Sophia (Ecuador);13903861, 13908626;Universidad Politecnica Salesiana;Ecuador;https://sophia.ups.edu.ec/index.php/sophia/;Verificado por ISSN en DOAJ;https://doaj.org/toc/0120495c80df467b9d4880e8f08becb3;"Coincidencia exacta de ISSN con el registro DOAJ de «Sophía: Colección de Filosofía de la Educación»; editorial declarada: Universidad Politécnica Salesiana."
17;Historia 396;07197969, 07190719;Pontificia Universidad Catolica de Chile;Chile;http://www.historia396.cl;Verificado por ISSN en DOAJ;https://doaj.org/toc/6e78a847c7874bcb8091f20f296bdf88;"Coincidencia exacta de ISSN con el registro DOAJ de «Historia 396»; editorial declarada: Pontificia Universidad Católica de Valparaíso."
28;Historia Mexicana;01850172;Colegio de Mexico, A.C., Departamento de Publicaciones;Mexico;http://historiamexicana.colmex.mx/index.php/RHM;Verificado por ISSN en DOAJ;https://doaj.org/toc/c2e4a43cc2e044ca9104097a39ff5b4a;"Coincidencia exacta de ISSN con el registro DOAJ de «Historia Mexicana El Colegio de México»; editorial declarada: El Colegio de México, A.C.."
29;Kepes;17947111;Universidad de Caldas;Colombia;https://revistasojs.ucaldas.edu.co/index.php/kepes;Verificado por ISSN en DOAJ;https://doaj.org/toc/11792ae17f874f4aa9ae9309c2b9ddd3;"Coincidencia exacta de ISSN con el registro DOAJ de «Kepes»; editorial declarada: Universidad de Caldas."
32;Topicos (Mexico);01886649, 20078498;Universidad Panamericana;Mexico;https://revistas.up.edu.mx/topicos/;Verificado por ISSN en DOAJ;https://doaj.org/toc/075cbf76635048178f18cfc4049274f8;"Coincidencia exacta de ISSN con el registro DOAJ de «Tópicos»; editorial declarada: Universidad Panamericana."
36;Fronteras de la Historia;25394711, 20274688;Instituto Colombiano de Antropologia e Historia;Colombia;https://revistas.icanh.gov.co/index.php/fh/index;Verificado por ISSN en DOAJ;https://doaj.org/toc/2a6519794db24e95beacb46ce1e862e4;"Coincidencia exacta de ISSN con el registro DOAJ de «Fronteras de la Historia»; editorial declarada: Instituto Colombiano de Antropología e Historia."
38;Historia Ambiental Latinoamericana y Caribena;22372717;Centro Universitario de Anapolis;Brazil;http://www.halacsolcha.org/index.php/halac;Verificado por ISSN en DOAJ;https://doaj.org/toc/92206a0ba3da4755a3ffcf684aaf9e31;"Coincidencia exacta de ISSN con el registro DOAJ de «Historia Ambiental Latinoamericana y Caribeña»; editorial declarada: UniEVANGELICA."
40;En-Claves del Pensamiento;25941100, 1870879X;Instituto Tecnologico y de Estudios Superiores de Monterrey;Mexico;https://www.enclavesdelpensamiento.mx/index.php/enclaves;Verificado por ISSN en DOAJ;https://doaj.org/toc/7f15014cd6644d0ea27fc193387fd090;"Coincidencia exacta de ISSN con el registro DOAJ de «En-claves del Pensamiento»; editorial declarada: Instituto Tecnológico y de Estudios Superiores de Monterrey."
44;Perseitas;23461780;Universidad Catolica Luis Amigo;Colombia;https://revistas.ucatolicaluisamigo.edu.co/index.php/perseitas/index;Verificado por ISSN en DOAJ;https://doaj.org/toc/6c98ef674759476bbbee29c70ded172d;"Coincidencia exacta de ISSN con el registro DOAJ de «Perseitas»; editorial declarada: Fondo Editorial Universidad Católica Luis Amigó."
47;Cuadernos de Historia;07191243, 07161832;Universidad de Chile, Facultad de Filosofia y Humanidades, Departamento de Literatura;Chile;https://cuadernosdehistoria.uchile.cl/;Verificado por ISSN en DOAJ;https://doaj.org/toc/b96f3f33b3844eaaa4e6fe42568a8f9d;"Coincidencia exacta de ISSN con el registro DOAJ de «Cuadernos de Historia»; editorial declarada: Universidad de Chile."
50;Teologia y Vida;07176295, 00493449;Pontificia Universidad Catolica de Chile;Chile;https://teologiayvida.uc.cl/index.php/tyv;Verificado manualmente;https://teologiayvida.uc.cl/index.php/tyv;"Sitio oficial de la Pontificia Universidad Católica de Chile; los ISSN 0049-3449 y 0717-6295 aparecen en la propia revista."
52;America Latina en la Historia Economica;20073496, 14052253;Instituto de Investigaciones Dr. Jose Maria Luis Mora;Mexico;http://alhe.mora.edu.mx/;Verificado por ISSN en DOAJ;https://doaj.org/toc/81d766a4d28c4359bf0b9a96d1cc148d;"Coincidencia exacta de ISSN con el registro DOAJ de «América Latina en la Historia Económica»; editorial declarada: Instituto de Investigaciones Dr. José María Luis Mora."
56;Estudios de Historia Moderna Contemporanea de Mexico;24485004, 01852620;Universidad Nacional Autonoma de Mexico;Mexico;https://moderna.historicas.unam.mx;Verificado por ISSN en DOAJ;https://doaj.org/toc/0460a092992a438ca93e279204a53712;"Coincidencia exacta de ISSN con el registro DOAJ de «Estudios de Historia Moderna y Contemporánea de México»; editorial declarada: Universidad Nacional Autónoma de México."
58;Discusiones Filosoficas;01246127;Universidad de Caldas;Colombia;https://revistasojs.ucaldas.edu.co/index.php/discusionesfilosoficas;Verificado manualmente;https://revistasojs.ucaldas.edu.co/index.php/discusionesfilosoficas;"Portal oficial de revistas de la Universidad de Caldas; ISSN 0124-6127."
63;Revista de Historia (Chile);07169108, 07178832;Universidad de Concepcion;Chile;https://revistas.udec.cl/index.php/historia/index;Verificado por ISSN en DOAJ;https://doaj.org/toc/53c79de2bc8b4f71bb4ff487f932d667;"Coincidencia exacta de ISSN con el registro DOAJ de «Revista de Historia»; editorial declarada: Universidad de Concepción."
65;Urdimento;23586958;State University of Santa Catarina;Brazil;https://revistas.udesc.br/index.php/urdimento;Verificado manualmente;https://revistas.udesc.br/index.php/urdimento;"Portal oficial de revistas de la Universidade do Estado de Santa Catarina; ISSN 2358-6958."
67;Historia y Memoria;20275137, 2322777X;Universidad Pedagogica y Tecnologica de Colombia;Colombia;https://revistas.uptc.edu.co/index.php/historia_memoria;Verificado por ISSN en DOAJ;https://doaj.org/toc/41cd2e9827e1467dac307ece09c01aa5;"Coincidencia exacta de ISSN con el registro DOAJ de «Historia y Memoria»; editorial declarada: Universidad Pedagógica y Tecnológica de Colombia."
68;Intus-Legere Historia;07185456, 07198949;Universidad Adolfo Ibanez;Chile;https://intushistoria.uai.cl/index.php/intushistoria;Verificado manualmente;https://intushistoria.uai.cl/index.php/intushistoria;"Sitio institucional de la Universidad Adolfo Ibáñez; ISSN 0718-5456 y 0719-8949."
69;Cuestiones Teologicas;23899980, 0120131X;Universidad Pontificia Bolivariana;Colombia;https://revistas.upb.edu.co/index.php/cuestiones/index;Verificado por ISSN en DOAJ;https://doaj.org/toc/e59c4d2bb2ae4e18ab111da3c5b76a97;"Coincidencia exacta de ISSN con el registro DOAJ de «Cuestiones Teológicas»; editorial declarada: Universidad Pontificia Bolivariana."
73;Open Insight;23958936, 20072406;Centro de Investigacion Social Avanzada;Mexico;https://openinsight.com.mx/index.php/open;Verificado manualmente;https://openinsight.com.mx/index.php/open;"Sitio oficial de la revista del Centro de Investigación Social Avanzada; ISSN 2007-2406 y 2395-8936."
75;Musica Hodie;16763939;Universidade Federal de Goias;Brazil;https://revistas.ufg.br/musica;Verificado por ISSN en DOAJ;https://doaj.org/toc/1623f5133dcf4037bb8b62abd14ced5d;"Coincidencia exacta de ISSN con el registro DOAJ de «Música Hodie»; editorial declarada: Universidade Federal de Goiás."
79;Oido Pensante;22507116;CAICYT-CONICET;Argentina;http://revistascientificas.filo.uba.ar/index.php/oidopensante;Verificado por ISSN en DOAJ;https://doaj.org/toc/54bad598390a42c58d6e54e94ab8d07d;"Coincidencia exacta de ISSN con el registro DOAJ de «El Oído Pensante»; editorial declarada: Instituto de Ciencias Antropológicas, Facultad de Filosofía y Letras (Universidad de Buenos Aires)."
83;Opus;15177017, 01037412;National Association of Music Research and Postgraduates;Brazil;http://www.anppom.com.br/revista/index.php/opus;Verificado por ISSN en DOAJ;https://doaj.org/toc/b33a33b849cf4b3797531b1e43165f5d;"Coincidencia exacta de ISSN con el registro DOAJ de «Opus»; editorial declarada: Associação Nacional de Pesquisa e Pós-Graduação em Música."
84;Paginas;1851992X;Universidad Nacional de Rosario - Facultad de Humanidades y Artes, Escuela de Historia;Argentina;https://revistapaginas.unr.edu.ar/index.php/RevPaginas/index;Verificado por ISSN en DOAJ;https://doaj.org/toc/ed4b6c3ada124559ba70e320b013fdd7;"Coincidencia exacta de ISSN con el registro DOAJ de «Páginas»; editorial declarada: Universidad Nacional de Rosario."
85;Revista de Historia de America;2663371X, 00348325;Pan-American Institute of Geography and History;Mexico;https://revistasipgh.org/index.php/rehiam/index;Verificado por ISSN en DOAJ;https://doaj.org/toc/45e91bb7170645898e837d3a6d887298;"Coincidencia exacta de ISSN con el registro DOAJ de «Revista de Historia de América»; editorial declarada: Instituto Panamericano de Geografía e Historia."
86;Revista de la Academia Colombiana de Ciencias Exactas, Fisicas y Naturales;23824980, 03703908;Colombian Academy of Exact, Physical and Natural Sciences;Colombia;https://raccefyn.co/;Verificado por ISSN en DOAJ;https://doaj.org/toc/769541e46c6147b1b0184d103bfee101;"Coincidencia exacta de ISSN con el registro DOAJ de «Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales»; editorial declarada: Academia Colombiana de Ciencias Exactas, Físicas y Naturales."
87;Arete;1016913X, 22233741;Pontifica Universidad Catolica del Peru;Peru;http://revistas.pucp.edu.pe/index.php/arete;Verificado por ISSN en DOAJ;https://doaj.org/toc/0e213d0de5df478494c6cf14deded114;"Coincidencia exacta de ISSN con el registro DOAJ de «Areté»; editorial declarada: Pontificia Universidad Católica del Perú."
90;Estudios de Historia Novohispana;24486922, 18709060;Universidad Nacional Autonoma de Mexico;Mexico;https://novohispana.historicas.unam.mx;Verificado por ISSN en DOAJ;https://doaj.org/toc/cc6300003c704a3caaf57885602e34eb;"Coincidencia exacta de ISSN con el registro DOAJ de «Estudios de Historia Novohispana»; editorial declarada: Universidad Nacional Autónoma de México."
