Rank Multidisciplinary;Revista;ISSN;Editorial;País;Sitio web oficial;Estado de verificación;Fuente de verificación;Observación
1;Epidemiologia e Servicos de Saude;22379622, 16794974;Ministry of Health;Brazil;https://www.scielo.br/j/ress/;Verificado en portal oficial;https://www.scielo.br/j/ress/;SciELO identifica la revista, al Ministerio de Salud de Brasil y los ISSN 1679-4974 y 2237-9622.
2;Anais da Academia Brasileira de Ciencias;00013765, 16782690;Academia Brasileira de Ciencias;Brazil;https://www.scielo.br/j/aabc/;Verificado en portal oficial;https://www.scielo.br/j/aabc/;SciELO identifica la revista, la Academia Brasileira de Ciências y los ISSN 0001-3765 y 1678-2690.
3;Brazilian Archives of Biology and Technology;16784324, 15168913;Instituto de Tecnologia do Parana;Brazil;https://www.scielo.br/j/babt/;Verificado en portal oficial;https://www.scielo.br/j/babt/;SciELO identifica la revista, el Instituto de Tecnologia do Paraná y los ISSN 1516-8913 y 1678-4324.
5;Multidisciplinary Reviews;25953982;Malque Publishing;Brazil;https://malque.pub/ojs/index.php/mr/;Verificado en portal editorial;https://malque.pub/ojs/index.php/mr/about;El portal de Malque Publishing identifica la revista y el ISSN 2595-3982.
6;Universitas Scientiarum;20271352, 01227483;Pontificia Universidad Javeriana;Colombia;https://ciencias.javeriana.edu.co/universitas-scientiarum;Verificado en portal institucional;https://ciencias.javeriana.edu.co/universitas-scientiarum;"Página institucional de la Pontificia Universidad Javeriana; coincidencia de título, editorial e ISSN."
7;Multidisciplinary Science Journal;26751240;Malque Publishing;Brazil;https://www.malque.pub/ojs/index.php/msj/;Verificado en portal editorial;https://www.malque.pub/ojs/index.php/msj/about;El portal de Malque Publishing identifica la revista y el ISSN 2675-1240.
8;Interciencia;22447776, 03781844;Interciencia Association;Venezuela;https://www.interciencia.net/;Verificado en sitio de la revista;https://www.interciencia.net/acerca-de/;El sitio de la Asociación Interciencia declara los ISSN 0378-1844 y 2244-7776.
9;Revista Lasallista de Investigacion;22563938, 17944449;Corporacion Universitaria Lasallista;Colombia;https://revistas.unilasallista.edu.co/index.php/rldi;Verificado en portal institucional;https://revistas.unilasallista.edu.co/index.php/rldi/about;"Portal oficial de Unilasallista Corporación Universitaria; coincidencia de título y entidad editora."
10;Maskana;13906143, 24778893;University of Cuenca;Ecuador;https://publicaciones.ucuenca.edu.ec/ojs/index.php/maskana;Verificado en portal institucional;https://publicaciones.ucuenca.edu.ec/ojs/index.php/maskana;"Portal oficial de publicaciones de la Universidad de Cuenca; coincidencia exacta de ISSN."
11;Anales de la Academia de Ciencias de Cuba;23040106;Editorial Ciencias Medicas;Cuba;https://revistaccuba.sld.cu/index.php/revacc;Verificado en portal institucional;https://revistaccuba.sld.cu/index.php/revacc;"Portal oficial alojado en la red de salud de Cuba; coincidencia de título e ISSN 2304-0106."
13;Revista Interdisciplinar de Ciencia Aplicada;25253824;University of Caxias do Sul;Brazil;https://sou.ucs.br/etc/revistas/index.php/ricaucs;Verificado en portal institucional;https://sou.ucs.br/etc/revistas/index.php/ricaucs;"Portal oficial de la Universidade de Caxias do Sul; edición vigente y coincidencia de título e ISSN."
14;Salud, Ciencia y Tecnologia - Serie de Conferencias (discontinued);29534860;Editorial Salud, Ciencia y Tecnologia;Argentina;https://conferencias.ageditor.ar/index.php/sctconf;Verificado en portal editorial;https://conferencias.ageditor.ar/index.php/sctconf/about;"SCImago la marca como discontinuada en Scopus; el portal oficial de AG Editor sigue accesible y declara el ISSN 2953-4860."
15;Salud, Ciencia y Tecnologia (discontinued);27969711;;Argentina;https://sct.ageditor.ar/index.php/sct;Verificado en portal editorial;https://sct.ageditor.ar/index.php/sct;"SCImago la marca como discontinuada en Scopus; el portal oficial de AG Editor permanece accesible."
16;Sapienza (discontinued);26759780;Sapienza Grupo Editorial;Brazil;https://journals.sapienzaeditorial.com/index.php/SIJIS;Verificado en portal editorial;https://journals.sapienzaeditorial.com/index.php/SIJIS;Corresponde a Sapienza: International Journal of Interdisciplinary Studies, e-ISSN 2675-9780. SCImago la marca como discontinuada en Scopus, aunque el sitio editorial continúa publicando.
