Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;5800219327;"Boletin de Filologia";journal;"07189303, 00679674";"Universidad de Chile";Yes;Yes;0,385;Q1;15;34;109;1488;49;108;0,56;43,76;52,78;0;Chile;Latin America;"Universidad de Chile";"2014-2025";"History (Q1); Linguistics and Language (Q1); Literature and Literary Theory (Q1)";"Arts and Humanities; Social Sciences"
2;21100399153;"Boletin del Museo Chileno de Arte Precolombino";journal;"07161530, 07186894";"Museo Chileno de Arte Precolombino";Yes;Yes;0,371;Q1;12;9;56;491;32;49;0,66;54,56;36,36;0;Chile;Latin America;"Museo Chileno de Arte Precolombino";"2014-2025";"Archeology (Q1); Archeology (arts and humanities) (Q1); Visual Arts and Performing Arts (Q1); Anthropology (Q2)";"Arts and Humanities; Social Sciences"
3;21100200407;"Arqueologia";journal;"18538126, 03275159";"University of Buenos Aires";Yes;Yes;0,336;Q1;12;27;86;1550;49;83;0,51;57,41;47,22;0;Argentina;Latin America;"University of Buenos Aires";"2011-2026";"Archeology (arts and humanities) (Q1); Archeology (Q2)";"Arts and Humanities; Social Sciences"
4;21101033505;"Revista del Museo de Antropologia";journal;"18524826, 1852060X";"Universidad Nacional de Cordoba, Facultad de Filosofia y Humanidades";Yes;Yes;0,332;Q1;8;73;233;3701;100;225;0,37;50,70;73,03;0;Argentina;Latin America;"Universidad Nacional de Cordoba, Facultad de Filosofia y Humanidades";"2019-2025";"Archeology (arts and humanities) (Q1); Museology (Q1); Anthropology (Q2); Archeology (Q2)";"Arts and Humanities; Social Sciences"
5;14784;"Historia, Ciencias, Saude - Manguinhos";journal;"16784758, 01045970";"Fundacao Oswaldo Cruz";Yes;Yes;0,329;Q2;26;57;199;2449;85;179;0,43;42,96;50,55;0;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1994-2026";"History and Philosophy of Science (Q2); Medicine (miscellaneous) (Q3)";"Arts and Humanities; Medicine"
6;21101287730;"Almanack";journal;"22364633";"Federal University of Sao Paulo";Yes;No;0,303;Q1;3;37;101;1831;17;92;0,16;49,49;45,71;0;Brazil;Latin America;"Federal University of Sao Paulo";"2019, 2021-2025";"History (Q1); Education (Q3)";"Arts and Humanities; Social Sciences"
7;21100933830;"Estudios Fronterizos";journal;"23959134";"Universidad Autonoma de Baja California";Yes;Yes;0,303;Q1;10;17;76;1028;70;74;0,90;60,47;36,67;0;Mexico;Latin America;"Universidad Autonoma de Baja California";"2019-2025";"History (Q1); Anthropology (Q2); Demography (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Economics and Econometrics (Q3); Geography, Planning and Development (Q3)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
8;5600155211;"Historia Critica";journal;"19006152, 01211617";"Universidad de los Andes, Colombia";Yes;Yes;0,302;Q1;15;23;67;1057;32;67;0,62;45,96;46,67;0;Colombia;Latin America;"Universidad de los Andes, Colombia";"2002-2025";"Cultural Studies (Q1); History (Q1); Social Sciences (miscellaneous) (Q2); Geography, Planning and Development (Q3)";"Arts and Humanities; Social Sciences"
9;19700169822;"Ikala";journal;"01233432";"Universidad de Antioquia";Yes;Yes;0,297;Q1;15;37;116;1871;113;115;0,72;50,57;60,29;0;Colombia;Latin America;"Universidad de Antioquia";"2013-2025";"Cultural Studies (Q1); Literature and Literary Theory (Q1); Linguistics and Language (Q2); Education (Q3)";"Arts and Humanities; Social Sciences"
10;21101039620;"Archivos de Historia del Movimiento Obrero y la Izquierda";journal;"26839601, 23139749";"Centro de Estudios Historicos de los Trabajadores y las Izquierdas";Yes;Yes;0,291;Q1;4;11;63;318;13;50;0,21;28,91;22,22;0;Argentina;Latin America;"Centro de Estudios Historicos de los Trabajadores y las Izquierdas";"2019-2025";"History (Q1); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
