Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;21100872043;"Epidemiologia e Servicos de Saude";journal;"22379622, 16794974";"Ministry of Health";Yes;Yes;0,556;Q1;34;225;246;4406;396;217;1,21;19,58;63,47;0;Brazil;Latin America;"Ministry of Health";"2016-2026";"Multidisciplinary (Q1); Medicine (miscellaneous) (Q2); Epidemiology (Q3)";"Medicine; Multidisciplinary"
2;18659;"Anais da Academia Brasileira de Ciencias";journal;"00013765, 16782690";"Academia Brasileira de Ciencias";Yes;Yes;0,317;Q2;81;358;1215;17913;1678;1171;1,22;50,04;45,74;1;Brazil;Latin America;"Academia Brasileira de Ciencias";"1945-1946, 1949, 1970-1992, 1994-2026";"Multidisciplinary (Q2)";"Multidisciplinary"
3;145331;"Brazilian Archives of Biology and Technology";journal;"16784324, 15168913";"Instituto de Tecnologia do Parana";Yes;Yes;0,255;Q2;71;128;534;5981;690;534;1,16;46,73;45,36;0;Brazil;Latin America;"Instituto de Tecnologia do Parana";"1998-2025";"Multidisciplinary (Q2)";"Multidisciplinary"
4;21100902661;"Acta Scientiae";journal;"15174492, 21787727";"Lutheran University of Brazil";No;No;0,243;Q2;11;27;180;846;113;180;0,60;31,33;51,67;0;Brazil;Latin America;"Lutheran University of Brazil";"2018-2026";"Multidisciplinary (Q2); Education (Q3)";"Multidisciplinary; Social Sciences"
5;21101163455;"Multidisciplinary Reviews";journal;"25953982";"Malque Publishing";No;No;0,223;Q3;13;499;577;22144;852;576;1,48;44,38;42,25;0;Brazil;Latin America;"Malque Publishing";"2023-2026";"Multidisciplinary (Q3)";"Multidisciplinary"
6;19700166903;"Universitas Scientiarum";journal;"20271352, 01227483";"Pontificia Universidad Javeriana";Yes;Yes;0,205;Q3;17;39;45;607;41;45;1,00;15,56;42,20;0;Colombia;Latin America;"Pontificia Universidad Javeriana";"2009-2025";"Multidisciplinary (Q3)";"Multidisciplinary"
7;21101133576;"Multidisciplinary Science Journal";journal;"26751240";"Malque Publishing";No;No;0,190;Q3;12;701;679;27041;791;678;1,19;38,57;41,45;1;Brazil;Latin America;"Malque Publishing";"2019-2026";"Multidisciplinary (Q3)";"Multidisciplinary"
8;22962;"Interciencia";journal;"22447776, 03781844";"Interciencia Association";Yes;No;0,169;Q3;42;80;264;2711;142;227;0,53;33,89;30,80;0;Venezuela;Latin America;"Interciencia Association";"1979, 1981-1982, 1986, 1993, 1996-2026";"Multidisciplinary (Q3)";"Multidisciplinary"
9;21100202735;"Revista Lasallista de Investigacion";journal;"22563938, 17944449";"Corporacion Universitaria Lasallista";Yes;Yes;0,142;Q4;13;42;107;1454;39;103;0,39;34,62;37,23;0;Colombia;Latin America;"Corporacion Universitaria Lasallista";"2011, 2013-2025";"Multidisciplinary (Q4)";"Multidisciplinary"
10;21101277819;"Maskana";journal;"13906143, 24778893";"University of Cuenca";Yes;Yes;0,140;Q4;3;39;57;1505;8;51;0,17;38,59;60,00;0;Ecuador;Latin America;"University of Cuenca";"2021-2025";"Multidisciplinary (Q4)";"Multidisciplinary"
11;21101224006;"Anales de la Academia de Ciencias de Cuba";journal;"23040106";"Editorial Ciencias Medicas";Yes;Yes;0,135;Q4;11;52;279;1533;31;253;0,09;29,48;52,28;0;Cuba;Latin America;"Editorial Ciencias Medicas";"2011-2025";"Multidisciplinary (Q4)";"Multidisciplinary"
12;21100904807;"Revista Conhecimento Online";journal;"21768501";"UNIVERSIDADE FEEVALE";Yes;Yes;0,133;Q4;5;25;80;946;28;77;0,31;37,84;43,75;0;Brazil;Latin America;"UNIVERSIDADE FEEVALE";"2019-2025";"Education (Q4); Multidisciplinary (Q4)";"Multidisciplinary; Social Sciences"
13;21101178120;"Revista Interdisciplinar de Ciencia Aplicada";journal;"25253824";"University of Caxias do Sul";No;No;0,118;Q4;3;8;41;247;18;40;0,42;30,88;42,86;0;Brazil;Latin America;"University of Caxias do Sul";"2019, 2021-2025";"Multidisciplinary (Q4)";"Multidisciplinary"
14;21101199899;"Salud, Ciencia y Tecnologia - Serie de Conferencias (discontinued)";journal;"29534860";"Editorial Salud, Ciencia y Tecnologia";No;No;;-;17;102;1008;3385;468;1007;0,51;33,19;50,15;0;Argentina;Latin America;"Editorial Salud, Ciencia y Tecnologia";"2022-2025";"Multidisciplinary";"Multidisciplinary"
15;21101131037;"Salud, Ciencia y Tecnologia (discontinued)";journal;"27969711";"";No;No;;-;19;493;945;17133;335;936;0,36;34,75;50,74;0;Argentina;Latin America;"";"2021-2025";"Engineering (miscellaneous); Health Professions (miscellaneous); Multidisciplinary; Nurse Assisting; Nursing (miscellaneous); Reviews and References (medical)";"Engineering; Health Professions; Medicine; Multidisciplinary; Nursing"
16;21101215098;"Sapienza (discontinued)";journal;"26759780";"Sapienza Grupo Editorial";No;No;;-;6;58;468;2539;134;465;0,49;43,78;46,88;0;Brazil;Latin America;"Sapienza Grupo Editorial";"2020-2025";"Multidisciplinary";"Multidisciplinary"
