Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;5100152922;"Revista de Ciencia Politica";journal;"0718090X, 07161417";"Pontificia Universidad Catolica de Chile";Yes;Yes;0,975;Q1;28;6;72;350;146;71;1,91;58,33;22,22;0;Chile;Latin America;"Pontificia Universidad Catolica de Chile";"2002, 2006-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
2;21101060255;"Novum Jus";journal;"16926013, 25008692";"Universidad Catolica de Colombia";Yes;Yes;0,914;Q1;10;47;140;2344;197;131;1,38;49,87;36,11;0;Colombia;Latin America;"Universidad Catolica de Colombia";"2019-2025";"Law (Q1); Sociology and Political Science (Q1)";"Social Sciences"
3;21100855986;"Revista de Investigacoes Constitucionais";journal;"23595639";"Universidade Federal do Parana";Yes;Yes;0,781;Q1;14;24;71;1290;67;69;0,91;53,75;38,71;0;Brazil;Latin America;"Universidade Federal do Parana";"2014-2025";"Law (Q1); Sociology and Political Science (Q1)";"Social Sciences"
4;21101079115;"Revista Eurolatinoamericana de Derecho Administrativo";journal;"2362583X";"Universidad Nacional del Litoral";Yes;Yes;0,704;Q1;6;17;58;712;30;58;0,38;41,88;17,65;0;Argentina;Latin America;"Universidad Nacional del Litoral";"2019-2025";"Law (Q1)";"Social Sciences"
5;21100199539;"Politica Criminal";journal;"07183399";"Centro Estudios Derecho Penal";Yes;Yes;0,654;Q1;13;43;103;2617;58;103;0,55;60,86;39,13;0;Chile;Latin America;"Centro Estudios Derecho Penal";"2009-2025";"Law (Q1); Sociology and Political Science (Q1)";"Social Sciences"
6;21101072371;"Via Inveniendi et Iudicandi";journal;"19090528";"Universidad de Santo Tomas";Yes;Yes;0,640;Q1;7;12;71;525;57;69;0,75;43,75;20,00;0;Colombia;Latin America;"Universidad de Santo Tomas";"2019-2025";"Law (Q1)";"Social Sciences"
7;21100407145;"Investigacion y Educacion en Enfermeria";journal;"22160280, 01205307";"Facultad de Enfermeria de la Universidad de Antioquia";Yes;Yes;0,572;Q2;26;51;143;1554;309;131;1,67;30,47;63,22;0;Colombia;Latin America;"Facultad de Enfermeria de la Universidad de Antioquia";"2012-2025";"Maternity and Midwifery (Q1); Community and Home Care (Q2); Family Practice (Q2); Health (social science) (Q2); Nursing (miscellaneous) (Q2); Geriatrics and Gerontology (Q3)";"Medicine; Nursing; Social Sciences"
8;21101076713;"A e C - Revista de Direito Administrativo e Constitucional";journal;"15163210, 19844182";"Instituto de Direito Romeu Felipe Bacellar";No;No;0,558;Q1;9;36;109;1692;59;109;0,52;47,00;32,56;0;Brazil;Latin America;"Instituto de Direito Romeu Felipe Bacellar";"2019-2025";"Law (Q1)";"Social Sciences"
9;14730;"Revista Latinoamericana de Psicologia";journal;"01200534";"Konrad Lorenz Editores";Yes;Yes;0,535;Q2;38;7;82;358;123;82;1,38;51,14;39,39;0;Colombia;Latin America;"Konrad Lorenz Editores";"1980, 1984, 1992, 1996-2025";"Psychology (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2)";"Psychology; Social Sciences"
10;5100154603;"Opiniao Publica";journal;"01046276, 18070191";"Universidade Estadual de Campinas UNICAMP";Yes;Yes;0,520;Q2;25;19;78;1118;82;78;0,90;58,84;54,05;0;Brazil;Latin America;"Universidade Estadual de Campinas UNICAMP";"2006-2026";"Sociology and Political Science (Q2)";"Social Sciences"
11;21101326198;"Pro Jure Revista de Derecho";journal;"28107659";"Pontificia Universidad Catolica de Valparaiso";No;No;0,498;Q1;4;35;34;1979;16;30;0,42;56,54;32,50;0;Chile;Latin America;"Pontificia Universidad Catolica de Valparaiso";"2024-2025";"Law (Q1); Social Sciences (miscellaneous) (Q2)";"Social Sciences"
12;21100863482;"Revista de Comunicacion";journal;"16840933, 22271465";"University of Piura";Yes;Yes;0,463;Q1;18;44;138;2537;260;131;1,67;57,66;61,95;0;Peru;Latin America;"University of Piura";"2018-2025";"Cultural Studies (Q1); Communication (Q2)";"Social Sciences"
